59,11,ts-consign-price-service,getPriceConfig,,,PriceInfo,GET,,,READ,Price
60,11,ts-consign-price-service,modifyPriceConfig,PriceInfo,,PriceInfo,POST,,,UPDATE,Price
61,12,ts-consign-service,insertConsign,Consign,,Consign,POST,,,CREATE,Consign
62,12,ts-consign-service,updateConsign,Consign,,Consign,PUT,,,UPDATE,Consign
63,12,ts-consign-service,findByAccountId,String:id,,Consign,GET,,,READ,Consign
64,12,ts-consign-service,findByOrderId,String:id,,Consign,GET,,,READ,Consign
65,12,ts-consign-service,findByConsignee,String:consignee,,Consign,GET,,,READ,Consign
66,13,ts-contacts-service,getAllContacts,,,List:Contact,GET,,,READ,List:Contact
67,13,ts-contacts-service,createNewContacts,Contact,,Contact,POST,,,CREATE,Contact
68,13,ts-contacts-service,createNewContactsAdmin,Contact,,Contact,POST,,,CREATE,Contact
69,14,ts-execute-service,executeTicket,String:orderId,,Order,POST,ts-order-other-service,Order,,
70,14,ts-execute-service,collectTicket,String:orderId,,Order,POST,ts-order-other-service,Order,,
71,15,ts-food-map-service,getAllFoodStores,,,List:FoodStore,GET,,,READ,List:FoodStore
72,15,ts-food-map-service,getFoodStoresOfStation,String:stationId,,List:FoodStore,POST,,,READ,List:FoodStore
73,15,ts-food-map-service,getFoodStoresByStationIds,List:String,,List:FoodStore,POST,,,READ,List:FoodStore
74,16,ts-food-service,findAllFoodOrder,,,List:FoodOrder,READ,,,READ,List:FoodOrder
75,16,ts-food-service,createFoodOrder,FoodOrder,,FoodOrder,POST,,,CREATE,FoodOrder
76,17,ts-food-service,updateFoodOrder,FoodOrder,,FoodOrder,PUT,,,UPDATE,FoodOrder
77,18,ts-food-service,deleteFoodOrder,FoodOrder,,FoodOrder,DELETE,,,DELETE,FoodOrder
78,19,ts-food-service,findFoodOrderByOrderId,String:orderId,,List:FoodOrder,GET,,,GET,List:FoodOrder
79,20,ts-food-service,getAllFood,,,,GET,ts-station-service,List:Food,,
79,,,,,,,GET,ts-station-service,List:FoodOrder,,
79,,,,,,,,ts-food-map-service,List:FoodStore,,
80,21,ts-inside-payment-service,pay,PaymentInfo,,,POST,ts-order-service,Order,,
80,,,,,,,POST,ts-order-other-service,Order,,
80,,,,,,,POST,ts-payment-service,Payment,,
81,22,ts-order-other-service,getTicketListByDateAndTripId,Seat,,Seat,GET,,,GET,SoldTIkcet
82,22,ts-order-other-service,createNewOrder,Order,,Order,POST,,,POST,Order
83,22,ts-order-other-service,addCreateNewOrder,Order,,Order,POST,,,POST,Order
84,22,ts-order-other-service,queryOrdersForRefresh,QueryInfo,,QueryInfo,GET,,,GET,QueryInfo
85,22,ts-order-other-service,calculateSoldTicket,Date,,Date,GET,,,GET,Date
86,22,ts-order-other-service,getOrderPrice,String:orderId,,String:orderId,GET,,,GET,String:orderId
87,22,ts-order-other-service,payOrder,String:orderId,,String:orderId,GET,,,GET,String:orderId
88,22,ts-order-other-service,getOrderById,String:orderId,,String:orderId,GET,,,GET,String:orderId
89,23,ts-order-service,getTicketListByDateAndTripId,Seat,,Seat,GET,,,GET,SoldTIkcet
90,23,ts-order-service,createNewOrder,Order,,Order,POST,,,POST,Order
91,23,ts-order-service,addCreateNewOrder,Order,,Order,POST,,,POST,Order
92,23,ts-order-service,queryOrdersForRefresh,QueryInfo,,QueryInfo,GET,,,GET,QueryInfo
93,23,ts-order-service,calculateSoldTicket,Date,,Date,GET,,,GET,Date
94,23,ts-order-service,getOrderPrice,String:orderId,,String:orderId,GET,,,GET,String:orderId
95,23,ts-order-service,payOrder,String:orderId,,String:orderId,GET,,,GET,String:orderId
96,23,ts-order-service,getOrderById,String:orderId,,String:orderId,GET,,,GET,String:orderId
97,24,ts-payment-service,pay,Payment,,Payment,POST,,,CREATE,Payment
98,24,ts-payment-service,addMoney,Payment,,Payment,POST,,,CREATE,Payment
99,24,ts-payment-service,query,,,List:Payment,GET,,,GET,List:Payment
100,25,ts-preserve-other-service,preserve,OrderTicketsInfo,,OrderTicketsInfo,POST,ts-ticketinfo,TicketInfo,,
100,25,,,,,,,ts-user-service,User,,
100,25,,,,,,,ts-assurance-service,Assurance,,
100,25,,,,,,,ts-notification-service,,,
100,25,,,,,,,ts-seat-service,Seat,,
100,25,,,,,,,ts-station-service,Station,,
101,26,ts-preserve-service,preserve,OrderTicketsInfo,,OrderTicketsInfo,POST,ts-ticketinfo,TicketInfo,,
101,26,,,,,,,ts-user-service,User,,
101,26,,,,,,,ts-assurance-service,Assurance,,
101,26,,,,,,,ts-notification-service,,,
101,26,,,,,,,ts-seat-service,Seat,,
101,26,,,,,,,ts-station-service,Station,,
102,27,ts-price-service,create,ConfigInfo,,,POST,,,CREATE,PriceConfig
103,27,ts-price-service,delete,ConfigInfo,,,DELETE,,,DELETE,PriceConfig
104,27,ts-price-service,update,ConfigInfo,,,PUT,,,UPDATE,PriceConfig
105,27,ts-price-service,query,ConfigInfo,,,GET,,,READ,PriceConfig
106,27,ts-price-service,queryAll,String:routeId,String:trainType,,GET,,,READ,List:PriceConfig
107,28,ts-rebook-service,payDifference,,,,,ts-order-service,Order,,
107,28,,,,,,,ts-order-other-service,Order,,
107,28,,,,,,,ts-inside-payment-service,Payment,,
108,28,ts-rebook-service,rebook,,,,,ts-seat-service,Seat,,
108,28,,,,,,,ts-order-service,Order,,
108,28,,,,,,,ts-order-other-service,Order,,
108,28,,,,,,,ts-station-service,Station,,
108,28,,,,,,,ts-inside-payment-service,Payment,,
109,29,ts-route-plan-service,getCheapestRoutes,RoutePlanInfo,,RoutePlanResultUnit,,ts-route-service,Route,,
109,,,,,,,,ts-travel-service,Travel,,
110,29,ts-route-plan-service,getQuickestRoutes,RoutePlanInfo,,RoutePlanResultUnit,,ts-route-service,Route,,
110,29,,,,,,,ts-travel-service,Travel,,
111,29,ts-route-plan-service,getMinStopStations,RoutePlanInfo,,RoutePlanResultUnit,,ts-station-service,Station,,
112,30,ts-route-service,createAndModifyRoute,RouteInfo,,,POST,,,,
113,30,ts-route-service,deleteRoute,RouteInfo,,,DELETE,,,,
114,30,ts-route-service,queryById,RouteInfo,,,GET,,,,
115,30,ts-route-service,queryAll,RouteInfo,,,GET,,,,
116,30,ts-route-service,queryByStartAndTerminal,String:terminalId,String:startId,,GET,,,,
117,31,ts-seat-service,getLeftTicketOfInterval,Seat,,,POST,ts-travel-service,Travel,,
118,31,ts-seat-service,,,,,,ts-order-service,Order,,
119,31,ts-seat-service,,,,,,ts-travel2-service,Travel,,
120,31,ts-seat-service,create,Seat,,,POST,ts-travel-service,Travel,,
121,31,ts-seat-service,,,,,,ts-order-service,Order,,
122,31,ts-seat-service,,,,,,ts-travel2-service,Travel,,
123,32,ts-station-service,findAllSecurityConfig,,,List:SecurityConfig,GET,ts-order-other-service,Order,READ,
124,32,ts-station-service,create,SecurityConfig,,,POST,,,CREATE,
125,32,ts-station-service,update,SecurityConfig,,,PUT,,,UPDATE,
126,32,ts-station-service,delete,String:id,,,DELETE,,,DELETE,
127,32,ts-station-service,check,String:accountId,,,GET,,,GET,
128,33,ts-ticketinfo-service,queryForTravel,TravelInfo,,TravelResult,POST,ts-basic-service,BasicInfo,,
129,33,ts-ticketinfo-service,queryForStationId,String:name,,TrainType,GET,ts-basic-service,BasicInfo,,
130,34,ts-train-service,create,TrainType,,TrainType,POST,,,CREATE,
131,34,ts-train-service,retrieve,String:id,,TrainType,GET,,,GET,
132,34,ts-train-service,update,TrainType,,TrainType,PUT,,,UDPDATE,
133,34,ts-train-service,delete,String:Id,,TrainType,DELETE,,,DELETE,
134,34,ts-train-service,query,,,List:TrainType,GET,,,READ,
135,35,ts-travel2-service,getTrainTypeByTripId,String:tripId,,TrainType,GET,ts-train-service,TrainType,,
136,35,ts-travel2-service,getRouteByTripId,String:tripId,,Route,GET,ts-route-service,Route,,
137,35,ts-travel2-service,getTripsByRouteId,List:String,,List:Trip,GET,,,,
138,35,ts-travel2-service,createTrip,TripInfo,,Trip,POST,,,POST,
139,35,ts-travel2-service,retrieve,String:tripId,,Trip,GET,,,GET,
140,35,ts-travel2-service,deleteTrip,String:tripId,,Trip,DELETE,,,DELETE,
141,35,ts-travel2-service,queryInfo,TripInfo,,TripAllDetailInfo,GET,ts-seat-service,TripAllDetailInfo,GET,
142,35,ts-travel2-service,getTripAllDetailInfo,TripAllDetailInfo,,,GET,,,,
143,35,ts-travel2-service,queryAll,List:Trip,,,GET,,,,
144,35,ts-travel2-service,adminQueryAll,List:Trip,,List:Trip,GET,ts-ticketinfo-service,List:Trip,,
145,35,ts-travel-plan,getTransferResult,TransferTravelInfo,,,POST,,,,
146,35,ts-travel-plan,getByCheapest,TripInfo,,,POST,,,,
147,35,ts-travel-plan,getByQuickest,TripInfo,,,POST,,,,
148,35,ts-travel-service,getTrainTypeByTripId,String:tripId,,TrainType,GET,ts-train-service,TrainType,,
149,35,ts-travel-service,getRouteByTripId,String:tripId,,Route,GET,ts-route-service,Route,,
150,35,ts-travel-service,getTripsByRouteId,List:String,,List:Trip,GET,,,,
151,35,ts-travel-service,createTrip,TripInfo,,Trip,POST,,,POST,
152,35,ts-travel-service,retrieve,String:tripId,,Trip,GET,,,GET,
153,35,ts-travel-service,deleteTrip,String:tripId,,Trip,DELETE,,,DELETE,
154,35,ts-travel-service,queryInfo,TripInfo,,TripAllDetailInfo,GET,ts-seat-service,TripAllDetailInfo,GET,
155,35,ts-travel-service,getTripAllDetailInfo,TripAllDetailInfo,,,GET,,,,
156,35,ts-travel-service,queryAll,List:Trip,,,GET,,,,
157,35,ts-travel-service,adminQueryAll,List:Trip,,List:Trip,GET,ts-ticketinfo-service,List:Trip,,
158,36,ts-user-service,getAllUser,,,List:User,GET,,,,
159,36,ts-user-service,getUserByUserName,String:userName,,User,GET,,,GET,
160,36,ts-user-service,getUserByUserId,String:userID,,User,GET,,,GET,
161,36,ts-user-service,registerUser,UserDTO,,User,POST,,,POST,
162,37,ts-verification-code-service,imageCode,,,,GET,,,,
163,37,ts-verification-code-service,verifyCode,String:verifyCode,,boolean,GET,,,,
